Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,0,full_name,gid
Barrow County Sheriff Department,GA,12,,269.0,0,9.0,9,251,866.0,231,572.0,63.0,,,,,,,,,,barrow county,"barrow county,GA",05000US13013
Bartow County Sheriff Department,GA,12,,329.0,0,13.0,24,292,2726.0,821,1703.0,202.0,,,,,,,,,,bartow county,"bartow county,GA",05000US13015
Bibb County Sheriff Department,GA,12,,207.0,3,13.0,40,151,2370.0,542,1649.0,179.0,,,,,,,,,,bibb county,"bibb county,GA",05000US13021
Bulloch County Sheriff Department,GA,12,,29.0,2,5.0,10,12,734.0,192,503.0,39.0,,,,,,,,,,bulloch county,"bulloch county,GA",05000US13031
Carroll County Sheriff Department,GA,12,,113.0,1,17.0,16,79,1460.0,517,847.0,96.0,,,,,,,,,,carroll county,"carroll county,GA",05000US13045
Catoosa County Sheriff Department,GA,12,,84.0,1,6.0,14,63,1033.0,246,682.0,105.0,,,,,,,,,,catoosa county,"catoosa county,GA",05000US13047
Cherokee County Sheriff Department,GA,12,,117.0,3,24.0,17,73,1854.0,604,1126.0,124.0,,,,,,,,,,cherokee county,"cherokee county,GA",05000US13057
Clayton County Police Department,GA,12,,1157.0,24,57.0,535,541,9580.0,3777,4478.0,1325.0,,,,,,,,,,clayton county,"clayton county,GA",05000US13063
Cobb County Police Department,GA,12,,974.0,11,86.0,397,480,10658.0,3055,6856.0,747.0,,,,,,,,,,cobb county,"cobb county,GA",05000US13067
Coffee County Sheriff Department,GA,12,,65.0,3,4.0,11,47,840.0,221,588.0,31.0,,,,,,,,,,coffee county,"coffee county,GA",05000US13069
Colquitt County Sheriff Department,GA,9,,67.0,1,2.0,1,63,462.0,115,326.0,21.0,,,,,,,,,,colquitt county,"colquitt county,GA",05000US13071
Columbia County Sheriff Department,GA,12,,68.0,1,10.0,20,37,2297.0,396,1804.0,97.0,,,,,,,,,,columbia county,"columbia county,GA",05000US13073
Coweta County Sheriff Department,GA,12,,86.0,0,9.0,17,60,1419.0,339,1000.0,80.0,,,,,,,,,,coweta county,"coweta county,GA",05000US13077
Decatur Police Dept,GA,12,19764.0,39.0,0,0.0,25,14,652.0,92,498.0,62.0,197.3,0.0,0.0,126.5,70.8,3298.9,465.5,2519.7,313.7,decatur,"decatur,GA",05000US13087
Dekalb County Public Safety Department,GA,12,,3420.0,76,122.0,1787,1435,30285.0,9468,15995.0,4822.0,,,,,,,,,,dekalb county,"dekalb county,GA",05000US13089
Effingham,GA,12,,38.0,1,14.0,4,19,242.0,159,61.0,22.0,,,,,,,,,,effingham,"effingham,GA",05000US13103
Fayette County Sheriff Department,GA,12,,43.0,3,4.0,7,29,579.0,182,353.0,44.0,,,,,,,,,,fayette county,"fayette county,GA",05000US13113
Floyd County Police Department,GA,12,,126.0,1,9.0,11,105,1358.0,384,918.0,56.0,,,,,,,,,,floyd county,"floyd county,GA",05000US13115
Forsyth County Sheriff Department,GA,8,,108.0,1,9.0,2,96,990.0,232,738.0,20.0,,,,,,,,,,forsyth county,"forsyth county,GA",05000US13117
Fulton County Police Department,GA,12,,805.0,18,34.0,379,374,5855.0,1627,3458.0,770.0,,,,,,,,,,fulton county,"fulton county,GA",05000US13121
Gilmer County Sheriff Department,GA,12,,54.0,0,5.0,0,49,407.0,117,279.0,11.0,,,,,,,,,,gilmer county,"gilmer county,GA",05000US13123
Glynn County Police Department,GA,12,,230.0,2,10.0,64,154,2680.0,652,1947.0,81.0,,,,,,,,,,glynn county,"glynn county,GA",05000US13127
Gordon County Sheriff Department,GA,12,,149.0,4,8.0,5,132,732.0,208,479.0,45.0,,,,,,,,,,gordon county,"gordon county,GA",05000US13129
Gwinnett County Police Department,GA,12,,1578.0,34,161.0,662,721,14179.0,4100,8984.0,1095.0,,,,,,,,,,gwinnett county,"gwinnett county,GA",05000US13135
Habersham County Sheriff Department,GA,12,,33.0,0,3.0,0,30,495.0,203,267.0,25.0,,,,,,,,,,habersham county,"habersham county,GA",05000US13137
Hall County Sheriff Department,GA,12,,187.0,4,20.0,37,126,2357.0,626,1506.0,225.0,,,,,,,,,,hall county,"hall county,GA",05000US13139
Harris County Sheriff Department,GA,12,,19.0,0,0.0,0,19,209.0,51,151.0,7.0,,,,,,,,,,harris county,"harris county,GA",05000US13145
Henry Police Dept,GA,12,,286.0,5,26.0,94,161,4655.0,1378,2888.0,389.0,,,,,,,,,,henry,"henry,GA",05000US13151
Houston County Sheriff Department,GA,12,,59.0,2,6.0,9,42,996.0,233,730.0,33.0,,,,,,,,,,houston county,"houston county,GA",05000US13153
Jackson County Sheriff Department,GA,12,,69.0,0,9.0,7,53,892.0,175,672.0,45.0,,,,,,,,,,jackson county,"jackson county,GA",05000US13157
Jones County Sheriff Department,GA,12,,19.0,1,2.0,2,14,489.0,138,318.0,33.0,,,,,,,,,,jones county,"jones county,GA",05000US13169
Laurens County Sheriff Department,GA,12,,34.0,3,2.0,7,22,766.0,235,492.0,39.0,,,,,,,,,,laurens county,"laurens county,GA",05000US13175
Lee County Sheriff Department,GA,12,,92.0,1,1.0,5,85,630.0,150,453.0,27.0,,,,,,,,,,lee county,"lee county,GA",05000US13177
Lowndes County Sheriff Department,GA,12,,102.0,1,1.0,6,94,640.0,191,416.0,33.0,,,,,,,,,,lowndes county,"lowndes county,GA",05000US13185
Lumpkin County Sheriff Department,GA,12,,79.0,0,9.0,2,68,428.0,117,283.0,28.0,,,,,,,,,,lumpkin county,"lumpkin county,GA",05000US13187
Madison County Sheriff Department,GA,12,,42.0,0,3.0,7,32,741.0,191,505.0,45.0,,,,,,,,,,madison county,"madison county,GA",05000US13195
Monroe Police Dept,GA,12,13502.0,109.0,2,12.0,23,72,1039.0,332,676.0,31.0,807.3,14.8,88.9,170.3,533.3,7695.2,2458.9,5006.7,229.6,monroe,"monroe,GA",05000US13207
Murray County Sheriff Department,GA,12,,84.0,1,5.0,2,76,752.0,150,560.0,42.0,,,,,,,,,,murray county,"murray county,GA",05000US13213
Newton County Sheriff Department,GA,12,,279.0,4,13.0,33,229,1868.0,774,897.0,197.0,,,,,,,,,,newton county,"newton county,GA",05000US13217
Oconee County Sheriff Department,GA,12,,37.0,0,0.0,4,33,436.0,52,355.0,29.0,,,,,,,,,,oconee county,"oconee county,GA",05000US13219
Paulding County Sheriff Department,GA,12,,188.0,1,17.0,23,147,2374.0,622,1513.0,239.0,,,,,,,,,,paulding county,"paulding county,GA",05000US13223
Pickens County Sheriff Department,GA,12,,47.0,2,0.0,0,45,456.0,109,329.0,18.0,,,,,,,,,,pickens county,"pickens county,GA",05000US13227
Polk County Police Department,GA,12,,52.0,1,6.0,5,40,671.0,277,340.0,54.0,,,,,,,,,,polk county,"polk county,GA",05000US13233
Rockdale County Sheriff Department,GA,12,,246.0,1,13.0,29,203,2302.0,643,1474.0,185.0,,,,,,,,,,rockdale county,"rockdale county,GA",05000US13247
Spalding County Sheriff Department,GA,12,,146.0,1,17.0,29,99,1549.0,492,935.0,122.0,,,,,,,,,,spalding county,"spalding county,GA",05000US13255
Troup County Sheriff Department,GA,12,,30.0,2,4.0,4,20,712.0,172,503.0,37.0,,,,,,,,,,troup county,"troup county,GA",05000US13285
Walker County Sheriff Department,GA,11,,58.0,0,4.0,6,48,934.0,268,615.0,51.0,,,,,,,,,,walker county,"walker county,GA",05000US13295
Walton County Sheriff Department,GA,12,,85.0,0,6.0,12,67,1071.0,301,674.0,96.0,,,,,,,,,,walton county,"walton county,GA",05000US13297
Hawaii County Police Department,HI,8,,300.0,3,33.0,54,210,3729.0,853,2589.0,287.0,,,,,,,,,,hawaii county,"hawaii county,HI",05000US15001
Honolulu Police Dept,HI,3,975875.0,566.0,5,40.0,206,315,7169.0,1243,5297.0,629.0,,,,,,,,,,honolulu,"honolulu,HI",05000US15003
Kauai Police Department,HI,9,,154.0,0,23.0,15,116,1913.0,496,1310.0,107.0,,,,,,,,,,kauai,"kauai,HI",05000US15007
Maui Police Department,HI,12,,411.0,5,44.0,115,247,6003.0,1067,4419.0,517.0,,,,,,,,,,maui,"maui,HI",05000US15009
Ada County Sheriff Department,ID,12,,128.0,0,17.0,6,105,1036.0,248,758.0,30.0,,,,,,,,,,ada county,"ada county,ID",05000US16001
Bingham County Sheriff Department,ID,12,,38.0,0,8.0,1,29,283.0,82,182.0,19.0,,,,,,,,,,bingham county,"bingham county,ID",05000US16011
Bonner County Sheriff Department,ID,12,,30.0,1,2.0,1,26,451.0,183,224.0,44.0,,,,,,,,,,bonner county,"bonner county,ID",05000US16017
Bonneville County Sheriff Department,ID,12,,61.0,0,15.0,2,44,688.0,147,514.0,27.0,,,,,,,,,,bonneville county,"bonneville county,ID",05000US16019
Canyon County Sheriff Department,ID,12,,92.0,1,14.0,5,72,583.0,247,294.0,42.0,,,,,,,,,,canyon county,"canyon county,ID",05000US16027
Jerome Police Dept,ID,12,11115.0,45.0,0,7.0,6,32,197.0,67,118.0,12.0,404.9,0.0,63.0,54.0,287.9,1772.4,602.8,1061.6,108.0,jerome,"jerome,ID",05000US16053
Kootenai County Sheriff Department,ID,12,,88.0,1,18.0,3,66,1409.0,472,871.0,66.0,,,,,,,,,,kootenai county,"kootenai county,ID",05000US16055
Chicago Police Dept,IL,12,2708382.0,,500,,13476,12272,112466.0,22748,72717.0,17001.0,,18.5,,497.6,453.1,4152.5,839.9,2684.9,627.7,chicago,"chicago,IL",16000US1714026
Cook County Sheriff Department,IL,12,,267.0,1,27.0,40,199,1166.0,384,684.0,98.0,,,,,,,,,,cook county,"cook county,IL",05000US17031
Dekalb Police Dept,IL,12,43722.0,196.0,0,34.0,28,134,1304.0,209,1071.0,24.0,448.3,0.0,77.8,64.0,306.5,2982.5,478.0,2449.6,54.9,dekalb,"dekalb,IL",05000US17037
Dupage County Sheriff Department,IL,12,,73.0,0,3.0,16,54,1120.0,288,773.0,59.0,,,,,,,,,,dupage county,"dupage county,IL",05000US17043
Effingham Police Dept,IL,12,12345.0,25.0,0,8.0,2,15,420.0,48,358.0,14.0,202.5,0.0,64.8,16.2,121.5,3402.2,388.8,2900.0,113.4,effingham,"effingham,IL",05000US17049
Kane County Sheriff Department,IL,12,,58.0,0,15.0,2,41,526.0,189,319.0,18.0,,,,,,,,,,kane county,"kane county,IL",05000US17089
Kendall County Sheriff Department,IL,12,,58.0,0,16.0,0,42,295.0,86,202.0,7.0,,,,,,,,,,kendall county,"kendall county,IL",05000US17093
La Salle County Sheriff Department,IL,12,,30.0,0,11.0,3,16,416.0,147,253.0,16.0,,,,,,,,,,la salle county,"la salle county,IL",05000US17099
Lake County Sheriff Department,IL,12,,68.0,2,9.0,10,47,1760.0,451,1236.0,73.0,,,,,,,,,,lake county,"lake county,IL",05000US17097
Madison County Sheriff Department,IL,12,,58.0,0,5.0,9,44,718.0,256,437.0,25.0,,,,,,,,,,madison county,"madison county,IL",05000US17119
Marion Police Dept,IL,10,17268.0,57.0,0,8.0,7,42,178.0,149,7.0,22.0,,,,,,,,,,marion,"marion,IL",05000US17121
Mchenry City Police Dept,IL,12,27023.0,35.0,0,17.0,2,16,417.0,28,383.0,6.0,129.5,0.0,62.9,7.4,59.2,1543.1,103.6,1417.3,22.2,mchenry city,"mchenry city,IL",16000US1745694
Mchenry County Sheriff Department,IL,12,,85.0,0,28.0,5,52,613.0,190,422.0,1.0,,,,,,,,,,mchenry county,"mchenry county,IL",05000US17111
Montgomery Police Dept,IL,12,18697.0,18.0,0,4.0,3,11,366.0,67,292.0,7.0,96.3,0.0,21.4,16.0,58.8,1957.5,358.3,1561.7,37.4,montgomery,"montgomery,IL",05000US17135
Morton Police Dept,IL,12,16308.0,22.0,1,1.0,2,18,172.0,41,130.0,1.0,134.9,6.1,6.1,12.3,110.4,1054.7,251.4,797.2,6.1,morton,"morton,IL",16000US1750647
Normal Town Police Dept,IL,12,52797.0,114.0,0,19.0,34,61,1306.0,265,1016.0,25.0,215.9,0.0,36.0,64.4,115.5,2473.6,501.9,1924.4,47.4,normal town,"normal town,IL",16000US1753234
Ogle County Sheriff Department,IL,12,,13.0,1,0.0,1,11,189.0,59,126.0,4.0,,,,,,,,,,ogle county,"ogle county,IL",05000US17141
Peoria County Sheriff Department,IL,12,,125.0,3,20.0,11,91,966.0,263,670.0,33.0,,,,,,,,,,peoria county,"peoria county,IL",05000US17143
Round Lake Police Dept,IL,12,18374.0,28.0,0,4.0,3,21,184.0,43,137.0,4.0,152.4,0.0,21.8,16.3,114.3,1001.4,234.0,745.6,21.8,round lake,"round lake,IL",16000US1766040
Sangamon County Sheriff Department,IL,12,,173.0,2,27.0,23,121,867.0,286,543.0,38.0,,,,,,,,,,sangamon county,"sangamon county,IL",05000US17167
St. Clair County Sheriff Department,IL,12,,90.0,1,30.0,20,39,831.0,341,429.0,61.0,,,,,,,,,,st. clair county,"st. clair county,IL",05000US17163
Tazewell County Sheriff Department,IL,12,,6.0,0,0.0,2,4,250.0,71,169.0,10.0,,,,,,,,,,tazewell county,"tazewell county,IL",05000US17179
Will County Sheriff Department,IL,12,,154.0,6,24.0,26,98,1426.0,521,827.0,78.0,,,,,,,,,,will county,"will county,IL",05000US17197
Williamson County Sheriff Department,IL,12,,18.0,0,6.0,3,9,334.0,103,205.0,26.0,,,,,,,,,,williamson county,"williamson county,IL",05000US17199
Winnebago County Sheriff Office,IL,12,,139.0,1,35.0,19,84,1026.0,340,625.0,61.0,,,,,,,,,,winnebago county,"winnebago county,IL",05000US17201
Allen County Sheriff Department,IN,12,,70.0,2,8.0,14,46,1022.0,203,760.0,59.0,,,,,,,,,,allen county,"allen county,IN",05000US18003
Bartholomew County Sheriff Department,IN,12,,51.0,0,6.0,3,42,534.0,120,362.0,52.0,,,,,,,,,,bartholomew county,"bartholomew county,IN",05000US18005
Clark County Sheriff Department,IN,11,,51.0,0,5.0,5,41,519.0,229,264.0,26.0,,,,,,,,,,clark county,"clark county,IN",05000US18019
Dearborn County Sheriff Department,IN,11,,1.0,0,1.0,0,0,14.0,10,4.0,0.0,,,,,,,,,,dearborn county,"dearborn county,IN",05000US18029
Delaware,IN,12,,38.0,0,1.0,1,36,489.0,181,286.0,22.0,,,,,,,,,,delaware,"delaware,IN",05000US18035
Floyd County Sheriff Department,IN,12,,5.0,0,1.0,1,3,627.0,136,450.0,41.0,,,,,,,,,,floyd county,"floyd county,IN",05000US18043
Franklin City Police Dept,IN,12,24115.0,60.0,0,0.0,13,47,1062.0,126,920.0,16.0,248.8,0.0,0.0,53.9,194.9,4403.9,522.5,3815.1,66.3,franklin city,"franklin city,IN",16000US1825450
Grant County Sheriff Department,IN,12,,15.0,0,5.0,1,9,289.0,100,183.0,6.0,,,,,,,,,,grant county,"grant county,IN",05000US18053
Greene County Sheriff Department,IN,12,,2.0,0,2.0,0,0,189.0,37,137.0,15.0,,,,,,,,,,greene county,"greene county,IN",05000US18055
Greenfield City Police Dept,IN,12,20819.0,19.0,1,0.0,10,8,398.0,60,318.0,20.0,91.3,4.8,0.0,48.0,38.4,1911.7,288.2,1527.5,96.1,greenfield city,"greenfield city,IN",16000US1829520
Hancock County Sheriff Department,IN,12,,14.0,0,5.0,2,7,273.0,113,143.0,17.0,,,,,,,,,,hancock county,"hancock county,IN",05000US18059
Harrison County Sheriff Department,IN,12,,24.0,0,2.0,4,18,400.0,100,267.0,33.0,,,,,,,,,,harrison county,"harrison county,IN",05000US18061
Henry County Sheriff Department,IN,12,,6.0,0,3.0,2,1,600.0,227,347.0,26.0,,,,,,,,,,henry county,"henry county,IN",05000US18065
Howard County Sheriff Department,IN,12,,39.0,0,2.0,1,36,453.0,208,239.0,6.0,,,,,,,,,,howard county,"howard county,IN",05000US18067
Huntington Police Dept,IN,12,17486.0,31.0,0,10.0,4,17,467.0,65,388.0,14.0,177.3,0.0,57.2,22.9,97.2,2670.7,371.7,2218.9,80.1,huntington,"huntington,IN",05000US18069
Jasper Police Dept,IN,12,15193.0,6.0,0,0.0,0,6,160.0,27,122.0,11.0,39.5,0.0,0.0,0.0,39.5,1053.1,177.7,803.0,72.4,jasper,"jasper,IN",05000US18073
Johnson County Sheriff Department,IN,12,,68.0,0,1.0,10,57,735.0,163,553.0,19.0,,,,,,,,,,johnson county,"johnson county,IN",05000US18081
La Porte County Sheriff Department,IN,7,,10.0,0,3.0,3,4,420.0,175,226.0,19.0,,,,,,,,,,la porte county,"la porte county,IN",05000US18091
Lake County Sheriff Department,IN,12,,59.0,2,5.0,10,42,1106.0,278,739.0,89.0,,,,,,,,,,lake county,"lake county,IN",05000US18089
Lawrence County Sheriff Department,IN,12,,65.0,0,1.0,1,63,385.0,154,210.0,21.0,,,,,,,,,,lawrence county,"lawrence county,IN",05000US18093
Marion Police Dept,IN,12,29931.0,83.0,3,9.0,50,21,1329.0,257,983.0,89.0,277.3,10.0,30.1,167.1,70.2,4440.2,858.6,3284.2,297.4,marion,"marion,IN",05000US18097
Marshall County Sheriff Office,IN,9,,24.0,0,4.0,4,16,232.0,61,163.0,8.0,,,,,,,,,,marshall county,"marshall county,IN",05000US18099
Miami County Sheriff Department,IN,12,,3.0,0,1.0,1,1,174.0,56,113.0,5.0,,,,,,,,,,miami county,"miami county,IN",05000US18103
Monroe County Sheriff Department,IN,12,,53.0,1,18.0,5,29,911.0,239,592.0,80.0,,,,,,,,,,monroe county,"monroe county,IN",05000US18105
Noble County Sheriff Department,IN,11,,14.0,0,5.0,0,9,182.0,78,101.0,3.0,,,,,,,,,,noble county,"noble county,IN",05000US18113
Porter County Sheriff Department,IN,12,,46.0,2,4.0,4,36,893.0,184,659.0,50.0,,,,,,,,,,porter county,"porter county,IN",05000US18127
Putnam County Sheriff Department,IN,9,,9.0,0,1.0,0,8,164.0,67,84.0,13.0,,,,,,,,,,putnam county,"putnam county,IN",05000US18133
Richmond City Police Dept,IN,7,36785.0,116.0,4,30.0,32,50,1081.0,333,665.0,83.0,,,,,,,,,,richmond city,"richmond city,IN",16000US1864260
Shelby County Sheriff Department,IN,12,,14.0,0,1.0,1,12,296.0,109,171.0,16.0,,,,,,,,,,shelby county,"shelby county,IN",05000US18145
St. Joseph County Sheriff Department,IN,12,,122.0,0,13.0,17,92,1309.0,368,871.0,70.0,,,,,,,,,,st. joseph county,"st. joseph county,IN",05000US18141
Steuben County Sheriff Office,IN,12,,8.0,1,4.0,2,1,505.0,134,353.0,18.0,,,,,,,,,,steuben county,"steuben county,IN",05000US18151
Tippecanoe County Sheriff Department,IN,12,,38.0,0,13.0,2,23,725.0,203,485.0,37.0,,,,,,,,,,tippecanoe county,"tippecanoe county,IN",05000US18157
Vigo County Sheriff Department,IN,12,,33.0,2,7.0,5,19,1144.0,276,816.0,52.0,,,,,,,,,,vigo county,"vigo county,IN",05000US18167
Warrick County Sheriff Department,IN,12,,117.0,0,8.0,5,104,692.0,97,564.0,31.0,,,,,,,,,,warrick county,"warrick county,IN",05000US18173
Washington Police Dept,IN,12,11648.0,47.0,0,2.0,2,43,593.0,164,409.0,20.0,403.5,0.0,17.2,17.2,369.2,5091.0,1408.0,3511.3,171.7,washington,"washington,IN",05000US18175
Wayne County Sheriff Department,IN,12,,0.0,0,0.0,0,0,117.0,24,92.0,1.0,,,,,,,,,,wayne county,"wayne county,IN",05000US18177
Boone Police Dept,IA,12,12684.0,67.0,0,12.0,1,54,326.0,110,213.0,3.0,528.2,0.0,94.6,7.9,425.7,2570.2,867.2,1679.3,23.7,boone,"boone,IA",05000US19015
Carroll Police Dept,IA,12,10165.0,8.0,0,1.0,1,6,130.0,24,99.0,7.0,78.7,0.0,9.8,9.8,59.0,1278.9,236.1,973.9,68.9,carroll,"carroll,IA",05000US19027
Clinton Police Dept,IA,12,26934.0,171.0,0,14.0,20,137,1211.0,276,879.0,56.0,634.9,0.0,52.0,74.3,508.7,4496.2,1024.7,3263.5,207.9,clinton,"clinton,IA",05000US19045
Des Moines Police Dept,IA,12,207400.0,1094.0,7,100.0,250,737,10210.0,2514,6914.0,782.0,527.5,3.4,48.2,120.5,355.4,4922.9,1212.2,3333.7,377.0,des moines,"des moines,IA",05000US19057
Johnson County Sheriff Department,IA,12,,59.0,0,3.0,2,54,231.0,66,151.0,14.0,,,,,,,,,,johnson county,"johnson county,IA",05000US19103
Linn County Sheriff Department,IA,12,,28.0,1,9.0,0,18,275.0,121,129.0,25.0,,,,,,,,,,linn county,"linn county,IA",05000US19113
Marion Police Dept,IA,12,35349.0,37.0,0,11.0,4,22,633.0,127,484.0,22.0,104.7,0.0,31.1,11.3,62.2,1790.7,359.3,1369.2,62.2,marion,"marion,IA",05000US19125
Muscatine Police Dept,IA,12,23013.0,156.0,0,27.0,4,125,808.0,165,616.0,27.0,677.9,0.0,117.3,17.4,543.2,3511.1,717.0,2676.7,117.3,muscatine,"muscatine,IA",05000US19139
Polk County Sheriff Office,IA,12,,75.0,0,10.0,7,58,767.0,238,466.0,63.0,,,,,,,,,,polk county,"polk county,IA",05000US19153
Pottawattamie County Sheriff Department,IA,12,,41.0,0,7.0,1,33,509.0,141,305.0,63.0,,,,,,,,,,pottawattamie county,"pottawattamie county,IA",05000US19155
Butler,KS,12,,48.0,0,7.0,1,40,605.0,183,377.0,45.0,,,,,,,,,,butler,"butler,KS",05000US20015
Leavenworth Police Dept,KS,12,35857.0,248.0,0,15.0,30,203,1163.0,242,845.0,76.0,691.6,0.0,41.8,83.7,566.1,3243.4,674.9,2356.6,212.0,leavenworth,"leavenworth,KS",05000US20103
Mcpherson Police Dept,KS,12,13249.0,32.0,1,5.0,1,25,590.0,256,316.0,18.0,241.5,7.5,37.7,7.5,188.7,4453.2,1932.2,2385.1,135.9,mcpherson,"mcpherson,KS",05000US20113
Riley County Police Department,KS,12,,174.0,1,27.0,22,124,1355.0,225,1090.0,40.0,,,,,,,,,,riley county,"riley county,KS",05000US20161
Sedgwick County Sheriff Office,KS,12,,10.0,1,0.0,1,8,142.0,35,99.0,8.0,,,,,,,,,,sedgwick county,"sedgwick county,KS",05000US20173
Barren County Sheriff Office,KY,12,,4.0,0,1.0,0,3,79.0,36,36.0,7.0,,,,,,,,,,barren county,"barren county,KY",05000US21009
Boone County Sheriff Department,KY,12,,55.0,1,22.0,13,19,1399.0,359,952.0,88.0,,,,,,,,,,boone county,"boone county,KY",05000US21015
Boyd County Sheriff Department,KY,12,,11.0,0,1.0,2,8,180.0,53,104.0,23.0,,,,,,,,,,boyd county,"boyd county,KY",05000US21019
Bullitt County Sheriff Office,KY,12,,28.0,0,4.0,6,18,518.0,214,272.0,32.0,,,,,,,,,,bullitt county,"bullitt county,KY",05000US21029
Christian County Sheriff Department,KY,12,,19.0,2,7.0,3,7,403.0,153,233.0,17.0,,,,,,,,,,christian county,"christian county,KY",05000US21047
Daviess County Sheriff Department,KY,12,,16.0,0,4.0,2,10,545.0,143,379.0,23.0,,,,,,,,,,daviess county,"daviess county,KY",05000US21059
Florence City Police Dept,KY,12,30765.0,89.0,0,15.0,48,26,1629.0,191,1369.0,69.0,289.3,0.0,48.8,156.0,84.5,5295.0,620.8,4449.9,224.3,florence city,"florence city,KY",16000US2127982
Floyd County Sheriff Office,KY,12,,1.0,0,0.0,0,1,71.0,20,45.0,6.0,,,,,,,,,,floyd county,"floyd county,KY",05000US21071
Graves County Sheriff Department,KY,12,,24.0,4,4.0,3,13,275.0,134,115.0,26.0,,,,,,,,,,graves county,"graves county,KY",05000US21083
Henderson Police Dept,KY,12,28926.0,73.0,0,16.0,34,23,841.0,142,651.0,48.0,252.4,0.0,55.3,117.5,79.5,2907.4,490.9,2250.6,165.9,henderson,"henderson,KY",05000US21101
Knox County Sheriff Department,KY,12,,9.0,0,0.0,4,5,238.0,165,55.0,18.0,,,,,,,,,,knox county,"knox county,KY",05000US21121
Laurel County Sheriff Department,KY,12,,25.0,1,3.0,9,12,473.0,236,196.0,41.0,,,,,,,,,,laurel county,"laurel county,KY",05000US21125
Madison County Sheriff Department,KY,12,,14.0,0,5.0,2,7,480.0,201,263.0,16.0,,,,,,,,,,madison county,"madison county,KY",05000US21151
Mccracken County Sheriff Department,KY,12,,35.0,0,14.0,8,13,505.0,176,304.0,25.0,,,,,,,,,,mccracken county,"mccracken county,KY",05000US21145
Meade County Sheriff Office,KY,12,,6.0,0,0.0,1,5,142.0,81,52.0,9.0,,,,,,,,,,meade county,"meade county,KY",05000US21163
Nelson County Sheriff Department,KY,12,,18.0,0,4.0,4,10,196.0,95,85.0,16.0,,,,,,,,,,nelson county,"nelson county,KY",05000US21179
Oldham Police Dept,KY,12,,11.0,0,2.0,1,8,424.0,166,247.0,11.0,,,,,,,,,,oldham,"oldham,KY",05000US21185
Pike County Sheriff Department,KY,12,,0.0,0,0.0,0,0,16.0,6,9.0,1.0,,,,,,,,,,pike county,"pike county,KY",05000US21195
Pulaski County Sheriff Office,KY,12,,17.0,1,4.0,4,8,664.0,328,315.0,21.0,,,,,,,,,,pulaski county,"pulaski county,KY",05000US21199
Shelby County Sheriff Department,KY,12,,11.0,0,1.0,3,7,455.0,150,283.0,22.0,,,,,,,,,,shelby county,"shelby county,KY",05000US21211
Warren County Sheriff Department,KY,12,,20.0,0,6.0,2,12,452.0,150,272.0,30.0,,,,,,,,,,warren county,"warren county,KY",05000US21227
Whitley County Sheriff Office,KY,12,,17.0,1,1.0,4,11,152.0,94,45.0,13.0,,,,,,,,,,whitley county,"whitley county,KY",05000US21235
Alexandria City Police Dept,LA,12,48449.0,815.0,9,14.0,142,650,3630.0,974,2472.0,184.0,1682.2,18.6,28.9,293.1,1341.6,7492.4,2010.4,5102.3,379.8,alexandria city,"alexandria city,LA",16000US2200975
Ascension Parish Sheriff Department,LA,12,,63.0,0,21.0,42,0,2760.0,656,2069.0,35.0,,,,,,,,,,ascension parish,"ascension parish,LA",05000US22005
Avoyelles Parish Sheriff Department,LA,12,,152.0,1,28.0,4,119,531.0,176,342.0,13.0,,,,,,,,,,avoyelles parish,"avoyelles parish,LA",05000US22009
Caddo Parish Sheriff Department,LA,12,,19.0,0,7.0,8,4,856.0,223,621.0,12.0,,,,,,,,,,caddo parish,"caddo parish,LA",05000US22017
Calcasieu Parish Sheriff Department,LA,12,,137.0,0,56.0,31,50,3871.0,1275,2544.0,52.0,,,,,,,,,,calcasieu parish,"calcasieu parish,LA",05000US22019
East Baton Rouge Parish Sheriff Dept,LA,12,,371.0,18,6.0,237,110,8193.0,1802,6225.0,166.0,,,,,,,,,,east baton rouge parish,"east baton rouge parish,LA",05000US22033
Iberia Parish Sheriff Department,LA,12,,83.0,0,14.0,69,0,1735.0,562,1165.0,8.0,,,,,,,,,,iberia parish,"iberia parish,LA",05000US22045
Jefferson Parish Sheriff Department,LA,12,,1651.0,33,64.0,412,1142,12479.0,2568,9128.0,783.0,,,,,,,,,,jefferson parish,"jefferson parish,LA",05000US22051
Lafayette Police Dept,LA,12,122852.0,779.0,11,11.0,202,555,6815.0,1330,5244.0,241.0,634.1,9.0,9.0,164.4,451.8,5547.3,1082.6,4268.6,196.2,lafayette,"lafayette,LA",05000US22055
Lafourche Parish Sheriff Department,LA,12,,112.0,3,0.0,17,92,1848.0,616,1164.0,68.0,,,,,,,,,,lafourche parish,"lafourche parish,LA",05000US22057
Livingston Parish Sheriff Department,LA,12,,370.0,1,9.0,23,337,2324.0,729,1504.0,91.0,,,,,,,,,,livingston parish,"livingston parish,LA",05000US22063
