Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,0,full_name,gid
Pine County Sheriff Department,MN,12,,,0,,2,46,1049.0,198,774.0,77.0,,,,,,,,,,pine county,"pine county,MN",05000US27115
Plymouth Police Dept,MN,12,72020.0,,0,,14,19,1198.0,258,909.0,31.0,,0.0,,19.4,26.4,1663.4,358.2,1262.1,43.0,plymouth,"plymouth,MN",16000US2751730
Prior Lake Police Dept,MN,12,23410.0,,0,,4,7,455.0,45,388.0,22.0,,0.0,,17.1,29.9,1943.6,192.2,1657.4,94.0,prior lake,"prior lake,MN",16000US2752594
Ramsey Police Dept,MN,12,23988.0,,0,,2,7,532.0,68,456.0,8.0,,0.0,,8.3,29.2,2217.8,283.5,1901.0,33.4,ramsey,"ramsey,MN",16000US2753026
Rochester Police Dept,MN,12,108582.0,,2,,55,104,2721.0,495,2137.0,89.0,,1.8,,50.7,95.8,2505.9,455.9,1968.1,82.0,rochester,"rochester,MN",16000US2754880
Rosemount Police Dept,MN,12,22206.0,,0,,0,6,262.0,41,214.0,7.0,,0.0,,0.0,27.0,1179.9,184.6,963.7,31.5,rosemount,"rosemount,MN",16000US2755726
Savage Police Dept,MN,12,27635.0,,0,,2,19,666.0,90,561.0,15.0,,0.0,,7.2,68.8,2410.0,325.7,2030.0,54.3,savage,"savage,MN",16000US2758738
Scott County Sheriff Office,MN,12,,,0,,0,5,20.0,6,13.0,1.0,,,,,,,,,,scott county,"scott county,MN",05000US27139
Shakopee Police Dept,MN,12,38057.0,,0,,9,54,1141.0,146,969.0,26.0,,0.0,,23.6,141.9,2998.1,383.6,2546.2,68.3,shakopee,"shakopee,MN",16000US2759350
Sherburne County Sheriff Department,MN,12,,,0,,1,18,509.0,109,365.0,35.0,,,,,,,,,,sherburne county,"sherburne county,MN",05000US27141
Shoreview,MN,12,25513.0,,0,,1,10,282.0,61,204.0,17.0,,0.0,,3.9,39.2,1105.3,239.1,799.6,66.6,shoreview,"shoreview,MN",16000US2759998
St. Cloud Police Dept,MN,12,66593.0,,2,,59,141,2247.0,315,1849.0,83.0,,3.0,,88.6,211.7,3374.2,473.0,2776.6,124.6,st. cloud,"st. cloud,MN",16000US2756896
St. Louis County Sheriff Office,MN,12,,,0,,2,36,711.0,273,385.0,53.0,,,,,,,,,,st. louis county,"st. louis county,MN",05000US27137
St. Paul Police Dept,MN,12,290700.0,2101.0,13,168.0,658,1262,11893.0,3150,6938.0,1805.0,722.7,4.5,57.8,226.4,434.1,4091.2,1083.6,2386.7,620.9,st. paul,"st. paul,MN",16000US2758000
Stearns County Sheriff Office,MN,12,,,3,,3,17,442.0,90,332.0,20.0,,,,,,,,,,stearns county,"stearns county,MN",05000US27145
Winona Police Dept,MN,12,27731.0,,0,,7,21,498.0,91,380.0,27.0,,0.0,,25.2,75.7,1795.8,328.2,1370.3,97.4,winona,"winona,MN",16000US2771032
Woodbury Police Dept,MN,12,63190.0,,0,,7,11,1448.0,193,1207.0,48.0,,0.0,,11.1,17.4,2291.5,305.4,1910.1,76.0,woodbury,"woodbury,MN",16000US2771428
Wright County Sheriff Department,MN,12,,,0,,7,44,1828.0,169,1587.0,72.0,,,,,,,,,,wright county,"wright county,MN",05000US27171
Biloxi Police Dept,MS,12,45037.0,188.0,1,30.0,85,72,2267.0,732,1420.0,115.0,417.4,2.2,66.6,188.7,159.9,5033.6,1625.3,3153.0,255.3,biloxi,"biloxi,MS",16000US2806220
Brandon Police Dept,MS,12,22079.0,6.0,0,3.0,2,1,235.0,111,110.0,14.0,27.2,0.0,13.6,9.1,4.5,1064.4,502.7,498.2,63.4,brandon,"brandon,MS",16000US2808300
Clinton Police Dept,MS,12,25573.0,30.0,0,8.0,12,10,650.0,169,432.0,49.0,117.3,0.0,31.3,46.9,39.1,2541.7,660.9,1689.3,191.6,clinton,"clinton,MS",16000US2814420
Columbus Police Dept,MS,12,23650.0,100.0,1,4.0,16,79,1145.0,336,773.0,36.0,422.8,4.2,16.9,67.7,334.0,4841.4,1420.7,3268.5,152.2,columbus,"columbus,MS",16000US2815380
Desoto County Sheriff Office,MS,8,,6.0,0,2.0,1,3,292.0,124,156.0,12.0,,,,,,,,,,desoto county,"desoto county,MS",05000US28033
Greenville Police Dept,MS,10,33981.0,80.0,7,18.0,39,16,2010.0,835,1112.0,63.0,,,,,,,,,,greenville,"greenville,MS",16000US2829180
Gulfport Police Dept,MS,12,69369.0,122.0,3,16.0,60,43,3174.0,817,2225.0,132.0,175.9,4.3,23.1,86.5,62.0,4575.5,1177.8,3207.5,190.3,gulfport,"gulfport,MS",16000US2829700
Harrison County Sheriff Department,MS,12,,43.0,5,5.0,11,22,1155.0,410,682.0,63.0,,,,,,,,,,harrison county,"harrison county,MS",05000US28047
Hattiesburg Police Dept,MS,12,46726.0,118.0,5,13.0,66,34,2668.0,375,2183.0,110.0,252.5,10.7,27.8,141.2,72.8,5709.9,802.6,4671.9,235.4,hattiesburg,"hattiesburg,MS",16000US2831020
Hinds County Sheriff Department,MS,12,,34.0,3,1.0,5,25,469.0,230,183.0,56.0,,,,,,,,,,hinds county,"hinds county,MS",05000US28049
Horn Lake Police Dept,MS,12,26576.0,24.0,1,2.0,14,7,686.0,155,505.0,26.0,90.3,3.8,7.5,52.7,26.3,2581.3,583.2,1900.2,97.8,horn lake,"horn lake,MS",16000US2833700
Jackson County Sheriff Department,MS,12,,132.0,1,24.0,20,87,1618.0,519,976.0,123.0,,,,,,,,,,jackson county,"jackson county,MS",05000US28059
Jackson Police Dept,MS,12,175939.0,1668.0,63,135.0,799,671,11568.0,4124,6308.0,1136.0,948.1,35.8,76.7,454.1,381.4,6575.0,2344.0,3585.3,645.7,jackson,"jackson,MS",16000US2836000
Jones County Sheriff Office,MS,10,,80.0,1,18.0,12,49,710.0,294,416.0,0.0,,,,,,,,,,jones county,"jones county,MS",05000US28067
Lamar County Sheriff Office,MS,10,,14.0,0,4.0,3,7,608.0,348,250.0,10.0,,,,,,,,,,lamar county,"lamar county,MS",05000US28073
Lauderdale County Sheriff Department,MS,12,,41.0,2,9.0,10,20,612.0,330,242.0,40.0,,,,,,,,,,lauderdale county,"lauderdale county,MS",05000US28075
Lee County Sheriff Department,MS,12,,46.0,0,3.0,7,36,652.0,243,383.0,26.0,,,,,,,,,,lee county,"lee county,MS",05000US28081
Lowndes County Sheriff Office,MS,11,,48.0,0,3.0,3,42,466.0,242,209.0,15.0,,,,,,,,,,lowndes county,"lowndes county,MS",05000US28087
Madison County Sheriff Office,MS,12,,34.0,1,6.0,3,24,405.0,150,228.0,27.0,,,,,,,,,,madison county,"madison county,MS",05000US28089
Madison Police Dept,MS,12,24648.0,14.0,0,0.0,3,11,212.0,8,202.0,2.0,56.8,0.0,0.0,12.2,44.6,860.1,32.5,819.5,8.1,madison,"madison,MS",16000US2844520
Meridian Police Dept,MS,12,41347.0,234.0,10,33.0,124,67,2139.0,734,1226.0,179.0,565.9,24.2,79.8,299.9,162.0,5173.3,1775.2,2965.1,432.9,meridian,"meridian,MS",16000US2846640
Olive Branch Police Dept,MS,12,34141.0,70.0,1,12.0,17,40,999.0,402,562.0,35.0,205.0,2.9,35.1,49.8,117.2,2926.1,1177.5,1646.1,102.5,olive branch,"olive branch,MS",16000US2854040
Oxford City Police Dept,MS,12,19435.0,8.0,0,1.0,3,4,210.0,50,147.0,13.0,41.2,0.0,5.1,15.4,20.6,1080.5,257.3,756.4,66.9,oxford city,"oxford city,MS",16000US2854840
Panola County Sheriff Office,MS,12,,115.0,2,1.0,4,108,739.0,398,319.0,22.0,,,,,,,,,,panola county,"panola county,MS",05000US28107
Pascagoula Police Dept,MS,12,22477.0,86.0,0,31.0,33,22,1339.0,268,991.0,80.0,382.6,0.0,137.9,146.8,97.9,5957.2,1192.3,4409.0,355.9,pascagoula,"pascagoula,MS",16000US2855360
Pearl Police Dept,MS,12,25530.0,33.0,0,10.0,2,21,629.0,172,446.0,11.0,129.3,0.0,39.2,7.8,82.3,2463.8,673.7,1747.0,43.1,pearl,"pearl,MS",16000US2855760
Pontotoc County Sheriff Department,MS,1,,0.0,0,0.0,0,0,0.0,0,0.0,0.0,,,,,,,,,,pontotoc county,"pontotoc county,MS",05000US28115
Rankin County Sheriff Department,MS,12,,38.0,3,2.0,6,27,638.0,134,456.0,48.0,,,,,,,,,,rankin county,"rankin county,MS",05000US28121
Ridgeland Police Dept,MS,12,24541.0,38.0,2,0.0,10,26,699.0,65,612.0,22.0,154.8,8.1,0.0,40.7,105.9,2848.3,264.9,2493.8,89.6,ridgeland,"ridgeland,MS",16000US2862520
Southaven Police Dept,MS,12,49938.0,146.0,0,24.0,22,100,1325.0,189,1078.0,58.0,292.4,0.0,48.1,44.1,200.2,2653.3,378.5,2158.7,116.1,southaven,"southaven,MS",16000US2869280
Starkville Police Dept,MS,9,23978.0,29.0,0,2.0,9,18,683.0,141,525.0,17.0,,,,,,,,,,starkville,"starkville,MS",16000US2870240
Vicksburg Police Dept,MS,12,23700.0,174.0,2,21.0,29,122,1381.0,293,1037.0,51.0,734.2,8.4,88.6,122.4,514.8,5827.0,1236.3,4375.5,215.2,vicksburg,"vicksburg,MS",16000US2876720
Yazoo City Police Dept,MS,12,11347.0,78.0,1,7.0,16,54,514.0,252,239.0,23.0,687.4,8.8,61.7,141.0,475.9,4529.8,2220.9,2106.3,202.7,yazoo city,"yazoo city,MS",04000US28
Arnold Police Dept,MO,12,20920.0,30.0,1,3.0,8,18,725.0,53,648.0,24.0,143.4,4.8,14.3,38.2,86.0,3465.6,253.3,3097.5,114.7,arnold,"arnold,MO",16000US2901972
Ballwin Police Dept,MO,12,30454.0,18.0,0,1.0,1,16,216.0,52,154.0,10.0,59.1,0.0,3.3,3.3,52.5,709.3,170.7,505.7,32.8,ballwin,"ballwin,MO",16000US2903160
Belton Police Dept,MO,12,23295.0,71.0,0,7.0,10,54,656.0,101,524.0,31.0,304.8,0.0,30.0,42.9,231.8,2816.1,433.6,2249.4,133.1,belton,"belton,MO",16000US2904384
Blue Springs Police Dept,MO,12,52848.0,128.0,4,12.0,20,92,1767.0,260,1378.0,129.0,242.2,7.6,22.7,37.8,174.1,3343.6,492.0,2607.5,244.1,blue springs,"blue springs,MO",16000US2906652
Boone County Sheriff Department,MO,12,,114.0,0,3.0,14,97,779.0,200,530.0,49.0,,,,,,,,,,boone county,"boone county,MO",05000US29019
Butler County Sheriff Office,MO,12,,100.0,0,11.0,7,82,672.0,177,460.0,35.0,,,,,,,,,,butler county,"butler county,MO",05000US29023
Callaway County Sheriff Office,MO,12,,53.0,0,1.0,3,49,737.0,209,497.0,31.0,,,,,,,,,,callaway county,"callaway county,MO",05000US29027
Camden County Sheriff Department,MO,12,,38.0,0,1.0,0,37,409.0,117,273.0,19.0,,,,,,,,,,camden county,"camden county,MO",05000US29029
Cape Girardeau Police Dept,MO,12,38474.0,243.0,3,12.0,66,162,2628.0,500,2052.0,76.0,631.6,7.8,31.2,171.5,421.1,6830.6,1299.6,5333.5,197.5,cape girardeau,"cape girardeau,MO",16000US2911242
Cass County Sheriff Office,MO,12,,46.0,1,6.0,1,38,367.0,94,244.0,29.0,,,,,,,,,,cass county,"cass county,MO",05000US29037
Chesterfield Police Dept,MO,12,47560.0,23.0,0,2.0,7,14,755.0,68,667.0,20.0,48.4,0.0,4.2,14.7,29.4,1587.5,143.0,1402.4,42.1,chesterfield,"chesterfield,MO",16000US2913600
Christian County Sheriff Office,MO,12,,55.0,0,0.0,2,53,350.0,124,180.0,46.0,,,,,,,,,,christian county,"christian county,MO",05000US29043
Cole County Sheriff Office,MO,12,,55.0,0,3.0,2,50,262.0,91,151.0,20.0,,,,,,,,,,cole county,"cole county,MO",05000US29051
Columbia Police Dept,MO,12,110646.0,476.0,3,41.0,162,270,4221.0,784,3294.0,143.0,430.2,2.7,37.1,146.4,244.0,3814.9,708.6,2977.1,129.2,columbia,"columbia,MO",16000US2915670
Ferguson Police Dept,MO,12,21238.0,80.0,2,3.0,38,37,1041.0,247,699.0,95.0,376.7,9.4,14.1,178.9,174.2,4901.6,1163.0,3291.3,447.3,ferguson,"ferguson,MO",16000US2923986
Florissant Police Dept,MO,12,52243.0,79.0,0,3.0,29,47,1170.0,244,787.0,139.0,151.2,0.0,5.7,55.5,90.0,2239.5,467.0,1506.4,266.1,florissant,"florissant,MO",16000US2924778
Franklin County Sheriff Office,MO,12,,50.0,2,1.0,2,45,561.0,147,371.0,43.0,,,,,,,,,,franklin county,"franklin county,MO",05000US29071
Grandview Police Dept,MO,12,24601.0,90.0,0,5.0,38,47,798.0,209,504.0,85.0,365.8,0.0,20.3,154.5,191.0,3243.8,849.6,2048.7,345.5,grandview,"grandview,MO",16000US2928324
Greene County Sheriff Department,MO,12,,88.0,1,20.0,6,61,1737.0,524,1050.0,163.0,,,,,,,,,,greene county,"greene county,MO",05000US29077
Hazelwood Police Dept,MO,12,25743.0,88.0,2,3.0,23,60,995.0,178,737.0,80.0,341.8,7.8,11.7,89.3,233.1,3865.1,691.5,2862.9,310.8,hazelwood,"hazelwood,MO",16000US2931276
Independence Police Dept,MO,12,117433.0,537.0,5,43.0,127,362,7152.0,1253,5116.0,783.0,457.3,4.3,36.6,108.1,308.3,6090.3,1067.0,4356.5,666.8,independence,"independence,MO",16000US2935000
Jasper County Sheriff Department,MO,12,,172.0,0,9.0,3,160,753.0,271,415.0,67.0,,,,,,,,,,jasper county,"jasper county,MO",05000US29097
Jefferson County Sheriff Department,MO,12,,303.0,5,23.0,12,263,2498.0,456,1844.0,198.0,,,,,,,,,,jefferson county,"jefferson county,MO",05000US29099
Johnson County Sheriff Department,MO,12,,17.0,1,1.0,0,15,393.0,124,246.0,23.0,,,,,,,,,,johnson county,"johnson county,MO",05000US29101
Joplin Police Dept,MO,12,50654.0,288.0,2,27.0,70,189,3838.0,653,2920.0,265.0,568.6,3.9,53.3,138.2,373.1,7576.9,1289.1,5764.6,523.2,joplin,"joplin,MO",16000US2937592
Kirkwood Police Dept,MO,12,27586.0,34.0,0,2.0,2,30,535.0,54,472.0,9.0,123.3,0.0,7.3,7.3,108.8,1939.4,195.8,1711.0,32.6,kirkwood,"kirkwood,MO",16000US2939044
Liberty Police Dept,MO,12,29613.0,57.0,0,9.0,7,41,589.0,113,400.0,76.0,192.5,0.0,30.4,23.6,138.5,1989.0,381.6,1350.8,256.6,liberty,"liberty,MO",16000US2942032
Lincoln County Sheriff Department,MO,12,,57.0,0,0.0,0,57,297.0,123,151.0,23.0,,,,,,,,,,lincoln county,"lincoln county,MO",05000US29113
Maryland Heights Police Dept,MO,12,27518.0,58.0,0,5.0,11,42,592.0,74,489.0,29.0,210.8,0.0,18.2,40.0,152.6,2151.3,268.9,1777.0,105.4,maryland heights,"maryland heights,MO",16000US2946586
Newton County Sheriff Office,MO,12,,74.0,3,17.0,4,50,909.0,254,575.0,80.0,,,,,,,,,,newton county,"newton county,MO",05000US29145
O'Fallon Police Dept,MO,12,80670.0,74.0,2,5.0,4,63,1246.0,125,1100.0,21.0,91.7,2.5,6.2,5.0,78.1,1544.6,155.0,1363.6,26.0,o'fallon,"o'fallon,MO",16000US2954074
Platte County Sheriff Department,MO,12,,55.0,2,3.0,1,49,353.0,87,240.0,26.0,,,,,,,,,,platte county,"platte county,MO",05000US29165
Pulaski County Sheriff Department,MO,12,,154.0,3,12.0,9,130,512.0,221,265.0,26.0,,,,,,,,,,pulaski county,"pulaski county,MO",05000US29169
Raytown Police Dept,MO,12,29678.0,111.0,1,11.0,45,54,1305.0,276,906.0,123.0,374.0,3.4,37.1,151.6,182.0,4397.2,930.0,3052.8,414.4,raytown,"raytown,MO",16000US2960788
Sedalia Police Dept,MO,12,21416.0,101.0,0,5.0,15,81,1612.0,378,1173.0,61.0,471.6,0.0,23.3,70.0,378.2,7527.1,1765.0,5477.2,284.8,sedalia,"sedalia,MO",16000US2966440
Springfield Police Dept,MO,12,160962.0,1596.0,16,141.0,353,1086,14504.0,2215,11238.0,1051.0,991.5,9.9,87.6,219.3,674.7,9010.8,1376.1,6981.8,652.9,springfield,"springfield,MO",16000US2970000
St. Charles County Sheriff Department,MO,12,,142.0,0,6.0,12,124,1039.0,280,726.0,33.0,,,,,,,,,,st. charles county,"st. charles county,MO",05000US29183
