usps,geoid,ansicode,county,aland,awater,aland_sqmi,awater_sqmi,intptlat,intptlong,county_name,county_suffix
al,0001001,161526,autauga county,1539584444,25773561,594.437,9.951,32.53216,-86.646469,autauga,county
al,0001003,161527,baldwin county,4117583653,1133130093,1589.808,437.504,30.659218,-87.74606700000001,baldwin,county
al,0001005,161528,barbour county,2291820953,50864677,884.877,19.639,31.870253,-85.40510400000001,barbour,county
al,0001007,161529,bibb county,1612481756,9287967,622.5830000000001,3.5860000000000003,33.015893,-87.12714799999999,bibb,county
al,0001009,161530,blount county,1670041814,15077461,644.807,5.821000000000001,33.977358,-86.56644,blount,county
al,0001011,161531,bullock county,1613058451,6055020,622.805,2.338,32.101759,-85.717261,bullock,county
al,0001013,161532,butler county,2011976221,2727475,776.828,1.053,31.751666999999998,-86.681969,butler,county
al,0001015,161533,calhoun county,1569245771,16568584,605.889,6.397,33.771706,-85.822513,calhoun,county
al,0001017,161534,chambers county,1545009295,17048126,596.531,6.582000000000001,32.915504,-85.394032,chambers,county
al,0001019,161535,cherokee county,1434128008,119806814,553.72,46.258,34.069515,-85.65424200000001,cherokee,county
al,0001021,161536,chilton county,1794483668,20586275,692.8539999999999,7.9479999999999995,32.854051,-86.726607,chilton,county
al,0001023,161537,choctaw county,2365954803,19059247,913.5,7.359,31.990996999999997,-88.248908,choctaw,county
al,0001025,161538,clarke county,3207612199,36542657,1238.4660000000001,14.109000000000002,31.685521,-87.818624,clarke,county
al,0001027,161539,clay county,1564252220,5284585,603.961,2.04,33.2704,-85.863525,clay,county
al,0001029,161540,cleburne county,1450663481,2354898,560.104,0.909,33.671964,-85.516126,cleburne,county
al,0001031,161541,coffee county,1758565665,3907876,678.9860000000001,1.5090000000000001,31.402258000000003,-85.989602,coffee,county
al,0001033,161542,colbert county,1534878355,80029923,592.62,30.9,34.703112,-87.801457,colbert,county
al,0001035,161543,conecuh county,2201896148,6643478,850.1569999999999,2.565,31.430926,-86.988722,conecuh,county
al,0001037,161544,coosa county,1685891146,39946546,650.9259999999999,15.423,32.931445000000004,-86.243482,coosa,county
al,0001039,161545,covington county,2668869603,34526168,1030.4560000000001,13.331,31.243987,-86.44872099999999,covington,county
al,0001041,161546,crenshaw county,1576887981,5376388,608.84,2.076,31.732826,-86.319222,crenshaw,county
al,0001043,161547,cullman county,1903376240,52118961,734.898,20.123,34.131923,-86.86926700000001,cullman,county
al,0001045,161548,dale county,1453371192,4016457,561.15,1.551,31.430653999999997,-85.609476,dale,county
al,0001047,161549,dallas county,2534807336,39134779,978.695,15.11,32.33354,-87.114356,dallas,county
al,0001049,161550,dekalb county,2012664423,4121499,777.0939999999999,1.591,34.460929,-85.80399200000001,dekalb,county
al,0001051,161551,elmore county,1601877327,99852764,618.488,38.553000000000004,32.597229,-86.142735,elmore,county
al,0001053,161552,escambia county,2447747109,20872958,945.08,8.059,31.122287,-87.16841,escambia,county
al,0001055,161553,etowah county,1386505882,34436544,535.3330000000001,13.296,34.047641,-86.034263,etowah,county
al,0001057,161554,fayette county,1625693532,4330882,627.684,1.672,33.716157,-87.764292,fayette,county
al,0001059,161555,franklin county,1641580723,32904833,633.818,12.705,34.441989,-87.842814,franklin,county
al,0001061,161556,geneva county,1487710550,11765163,574.408,4.543,31.092392999999998,-85.821011,geneva,county
al,0001063,161557,greene county,1675993286,33244756,647.105,12.835999999999999,32.844497,-87.9642,greene,county
al,0001065,161558,hale county,1667803963,32525876,643.943,12.558,32.752796000000004,-87.62306099999999,hale,county
al,0001067,161559,henry county,1454926264,16986823,561.75,6.559,31.516978,-85.239971,henry,county
al,0001069,161560,houston county,1501741569,4736091,579.826,1.829,31.158193,-85.296398,houston,county
al,0001071,161561,jackson county,2791664974,126657151,1077.868,48.903,34.764114,-85.980056,jackson,county
al,0001073,161562,jefferson county,2878198172,32472182,1111.279,12.538,33.553444,-86.896536,jefferson,county
al,0001075,161563,lamar county,1566544626,1600679,604.846,0.618,33.787085,-88.08743100000001,lamar,county
al,0001077,161564,lauderdale county,1729334656,134420368,667.7,51.9,34.904121999999994,-87.650997,lauderdale,county
al,0001079,161565,lawrence county,1788847700,68687348,690.678,26.52,34.529776,-87.321865,lawrence,county
al,0001081,161566,lee county,1573552207,21488919,607.552,8.297,32.604064,-85.353048,lee,county
al,0001083,161567,limestone county,1450233464,122374530,559.938,47.248999999999995,34.810239,-86.981399,limestone,county
al,0001085,161568,lowndes county,1854201994,23721056,715.9110000000001,9.158999999999999,32.147888,-86.650586,lowndes,county
al,0001087,161569,macon county,1577005108,11194124,608.885,4.322,32.387027,-85.692887,macon,county
al,0001089,161570,madison county,2076115374,28770709,801.5930000000001,11.107999999999999,34.764238,-86.55108,madison,county
al,0001091,161572,marengo county,2530112418,14994543,976.882,5.789,32.247591,-87.79109100000001,marengo,county
al,0001093,161573,marion county,1922526820,3313144,742.2919999999999,1.2790000000000001,34.138219,-87.881551,marion,county
al,0001095,161574,marshall county,1465522829,148503240,565.842,57.336999999999996,34.309564,-86.321668,marshall,county
al,0001097,161575,mobile county,3184112222,1073860915,1229.393,414.62,30.684571999999996,-88.196568,mobile,county
al,0001099,161576,monroe county,2656521228,22609674,1025.6889999999999,8.73,31.580332000000002,-87.383266,monroe,county
al,0001101,161577,montgomery county,2031293236,40468780,784.2869999999999,15.625,32.20365,-86.20383100000001,montgomery,county
al,0001103,161578,morgan county,1500535114,51006068,579.36,19.694000000000003,34.454484,-86.846402,morgan,county
al,0001105,161579,perry county,1863920367,10918481,719.664,4.216,32.639005,-87.29382700000001,perry,county
al,0001107,161580,pickens county,2282893925,22521211,881.43,8.695,33.296793,-88.096863,pickens,county
al,0001109,161581,pike county,1740741440,2336918,672.1039999999999,0.902,31.798651,-85.941604,pike,county
al,0001111,161582,randolph county,1503616627,9285272,580.55,3.585,33.296475,-85.46406800000001,randolph,county
al,0001113,161583,russell county,1660584296,15635292,641.155,6.037000000000001,32.289811,-85.18698,russell,county
al,0001115,164997,st. clair county,1636625182,56293637,631.905,21.735,33.712963,-86.315663,st. clair,county
al,0001117,161584,shelby county,2033105955,63551442,784.987,24.537,33.263042999999996,-86.678089,shelby,county
al,0001119,161585,sumter county,2341060545,24433134,903.8889999999999,9.434,32.597481,-88.200057,sumter,county
al,0001121,161586,talladega county,1908244350,60939131,736.7769999999999,23.529,33.369277000000004,-86.17580500000001,talladega,county
al,0001123,161587,tallapoosa county,1855779658,128809177,716.5210000000001,49.733999999999995,32.863369,-85.799553,tallapoosa,county
al,0001125,161588,tuscaloosa county,3423104097,76620463,1321.668,29.583000000000002,33.290242,-87.522735,tuscaloosa,county
al,0001127,161589,walker county,2049182266,36258741,791.194,14.0,33.791558,-87.30109399999999,walker,county
al,0001129,161590,washington county,2797722215,21650837,1080.2069999999999,8.359,31.405216999999997,-88.197564,washington,county
al,0001131,161591,wilcox county,2301199919,48985146,888.498,18.913,31.990084999999997,-87.304907,wilcox,county
al,0001133,161592,winston county,1587615096,48922725,612.982,18.889,34.154607,-87.36529,winston,county
ak,0002013,1419964,aleutians east borough,18082854844,20793145269,6981.83,8028.279,55.24504399999999,-161.997477,aleutians east,borough
ak,0002016,1419965,aleutians west census area,11370496382,25190642141,4390.173,9726.162,51.959447,178.338813,aleutians west census,area
ak,0002020,1416061,anchorage municipality,4415620140,663632140,1704.881,256.23,61.17425,-149.284329,,
ak,0002050,1419966,bethel census area,105075883988,12779539126,40570.027,4934.208,60.929141,-160.152625,bethel census,area
ak,0002060,1419967,bristol bay borough,1304962204,993834924,503.849,383.722,58.730157999999996,-156.996632,bristol bay,borough
ak,0002068,1419988,denali borough,33026406704,66068782,12751.567,25.509,63.68110600000001,-150.026544,denali,borough
ak,0002070,1419968,dillingham census area,48093048393,6077139202,18568.831000000002,2346.397,60.297403,-158.094698,dillingham census,area
ak,0002090,1419969,fairbanks north star borough,19006935676,272298859,7338.619000000001,105.135,64.692317,-146.601733,fairbanks north star,borough
ak,0002100,1419970,haines borough,6009021544,1049986695,2320.096,405.402,59.098771,-135.57693600000002,haines,borough
ak,0002105,2371430,hoonah-angoon census area,16966364741,7799664970,6550.75,3011.468,58.403335999999996,-135.88490900000002,hoonah-angoon census,area
ak,0002110,1419971,juneau city and borough,6998180840,1429473426,2702.013,551.923,58.37291,-134.17844499999998,juneau city and,borough
ak,0002122,1419972,kenai peninsula borough,41634472271,22473680180,16075.16,8677.136999999999,60.366668000000004,-152.322283,kenai peninsula,borough
ak,0002130,1419973,ketchikan gateway borough,12583288018,4649397262,4858.435,1795.142,55.449938,-131.106685,ketchikan gateway,borough
ak,0002150,1419974,kodiak island borough,16963710731,14172770704,6549.726,5472.138000000001,57.502015,-153.563512,kodiak island,borough
ak,0002164,1419975,lake and peninsula borough,60641390963,24626906754,23413.772999999997,9508.502,58.205065000000005,-156.705188,lake and peninsula,borough
ak,0002170,1419976,matanuska-susitna borough,63735012963,1682052438,24608.227000000003,649.444,62.279075,-149.61756200000002,matanuska-susitna,borough
ak,0002180,1419977,nome census area,59470568256,13767980127,22961.716,5315.847,64.783686,-164.18891200000002,nome census,area
ak,0002185,1419978,north slope borough,229720513924,15801027072,88695.59,6100.811,69.449343,-153.47283000000002,north slope,borough
ak,0002188,1419979,northwest arctic borough,92638195354,12901066002,35767.809,4981.13,67.005066,-160.021086,northwest arctic,borough
ak,0002195,2516404,petersburg borough,7556525819,2399243237,2917.591,926.3530000000001,57.112458,-133.008598,petersburg,borough
ak,0002198,1419980,prince of wales-hyder census area,13628568286,14538534966,5262.02,5613.36,55.682773,-133.162389,prince of wales-hyder census,area
ak,0002220,1419981,sitka city and borough,7434284129,5027235256,2870.393,1941.026,57.193204,-135.36739599999999,sitka city and,borough
ak,0002230,2339479,skagway municipality,1171510538,30331285,452.32300000000004,11.710999999999999,59.575097,-135.335418,,
ak,0002240,1419983,southeast fairbanks census area,64150204972,752764069,24768.534,290.644,63.864996999999995,-143.218628,southeast fairbanks census,area
ak,0002261,1419984,valdez-cordova census area,88681052080,15799729384,34239.947,6100.31,61.34984,-145.02314099999998,valdez-cordova census,area
ak,0002270,1419985,wade hampton census area,44240303572,6712008910,17081.277,2591.521,62.28306,-163.190903,wade hampton census,area
ak,0002275,2516402,wrangell city and borough,6582396501,2384301646,2541.478,920.584,56.180779,-132.02678799999998,wrangell city and,borough
ak,0002282,1419986,yakutat city and borough,19811662400,4696570965,7649.326,1813.356,60.007062,-140.148108,yakutat city and,borough
ak,0002290,1419987,yukon-koyukuk census area,376855923315,5956675130,145504.892,2299.885,65.375716,-151.577878,yukon-koyukuk census,area
az,0004001,25441,apache county,29001446857,54171648,11197.521999999999,20.916,35.385084,-109.490172,apache,county
az,0004003,25442,cochise county,15968982271,137024899,6165.659000000001,52.906000000000006,31.840128999999997,-109.77516299999999,cochise,county
az,0004005,25443,coconino county,48222222066,109964494,18618.705,42.458,35.829692,-111.773728,coconino,county
az,0004007,40471,gila county,12323010025,97111871,4757.941,37.495,33.789618,-110.81187,gila,county
az,0004009,25444,graham county,11972307736,47704127,4622.534000000001,18.419,32.931828,-109.87831000000001,graham,county
az,0004011,42807,greenlee county,4773671754,13745297,1843.125,5.307,33.238872,-109.242323,greenlee,county
az,0004012,43540,la paz county,11654002091,36568343,4499.6359999999995,14.119000000000002,33.72761,-114.03880600000001,la paz,county
az,0004013,37026,maricopa county,23826388829,64707599,9199.421,24.984,33.346540999999995,-112.495534,maricopa,county
az,0004015,25445,mohave county,34475725687,387348987,13311.153,149.556,35.717705,-113.74968899999999,mohave,county
az,0004017,42808,navajo county,25771504209,24078098,9950.434000000001,9.297,35.390785,-110.321025,navajo,county
az,0004019,25446,pima county,23794325275,5272990,9187.041,2.036,32.128523,-111.783027,pima,county
az,0004021,25447,pinal county,13897002021,22331547,5365.6630000000005,8.622,32.919038,-111.367005,pinal,county
az,0004023,40472,santa cruz county,3203592835,3088043,1236.914,1.192,31.525733000000002,-110.845228,santa cruz,county
az,0004025,42809,yavapai county,21039908972,11501645,8123.555,4.441,34.631212,-112.577385,yavapai,county
az,0004027,23901,yuma county,14281191615,13171257,5513.999,5.085,32.773942,-113.910905,yuma,county
ar,0005001,63755,arkansas county,2560983561,116414546,988.801,44.948,34.28957,-91.376547,arkansas,county
ar,0005003,63756,ashley county,2396641855,39310622,925.3489999999999,15.177999999999999,33.190835,-91.772267,ashley,county
ar,0005005,69895,baxter county,1435587413,84022300,554.283,32.441,36.28071,-92.330438,baxter,county
ar,0005007,69896,benton county,2194725342,94581599,847.388,36.518,36.337825,-94.256187,benton,county
ar,0005009,69897,boone county,1528950316,30222256,590.331,11.669,36.304308,-93.079204,boone,county
ar,0005011,63757,bradley county,1681514451,9532926,649.236,3.681,33.466549,-92.169156,bradley,county
ar,0005013,63758,calhoun county,1627959476,9926129,628.559,3.832,33.56046,-92.513879,calhoun,county
ar,0005015,66975,carroll county,1631639595,22384372,629.98,8.642999999999999,36.337773999999996,-93.541663,carroll,county
ar,0005017,69160,chicot county,1668755467,120391647,644.31,46.483000000000004,33.267139,-91.297158,chicot,county
ar,0005019,66845,clark county,2243121926,43395969,866.074,16.755,34.053315999999995,-93.176208,clark,county
ar,0005021,63759,clay county,1656162436,5149697,639.448,1.9880000000000002,36.367302,-90.418704,clay,county
ar,0005023,66983,cleburne county,1434052317,99015212,553.691,38.23,35.566315,-92.05995,cleburne,county
ar,0005025,63760,cleveland county,1548252055,2500385,597.783,0.965,33.893201,-92.188714,cleveland,county
ar,0005027,63761,columbia county,1984077019,1803419,766.056,0.696,33.223038,-93.232843,columbia,county
ar,0005029,66846,conway county,1430338558,37323753,552.257,14.411,35.265702000000005,-92.68924799999999,conway,county
ar,0005031,66847,craighead county,1831693609,14141167,707.221,5.46,35.827729,-90.631421,craighead,county
ar,0005033,69161,crawford county,1531186174,31078638,591.194,12.0,35.583040999999994,-94.23622399999999,crawford,county
ar,0005035,69162,crittenden county,1579530155,68675461,609.86,26.516,35.211878000000006,-90.315331,crittenden,county
ar,0005037,66848,cross county,1596418461,15348593,616.381,5.926,35.285692,-90.763984,cross,county
ar,0005039,66849,dallas county,1728522953,1864048,667.3860000000001,0.72,33.967822999999996,-92.653999,dallas,county
ar,0005041,66850,desha county,1989488188,133059815,768.1460000000001,51.375,33.828752,-91.24410300000001,desha,county
ar,0005043,66851,drew county,2145506687,18920694,828.385,7.305,33.587241999999996,-91.722778,drew,county
ar,0005045,66852,faulkner county,1678022128,41920337,647.888,16.186,35.146343,-92.324646,faulkner,county
ar,0005047,66853,franklin county,1576935154,27931280,608.8580000000001,10.784,35.508558,-93.887665,franklin,county
ar,0005049,66854,fulton county,1601113655,5527453,618.193,2.134,36.383619,-91.819664,fulton,county
ar,0005051,66855,garland county,1755499338,147165437,677.802,56.821000000000005,34.578860999999996,-93.146915,garland,county
